,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,40.46,33.692,36.896,36.482,38.264,37.598,32.36,37.688,36.248,38.660000000000004,36.518,35.438,41.162,35.582,33.872,36.392,33.368,40.298,38.192,35.258,37.994,41.666,37.508,34.304,39.308,38.804,39.074,40.46,36.212,42.098
2,40.352000000000004,33.602,36.788,36.266,37.166,37.634,32.36,37.292,36.176,38.678,36.518,35.528,41.234,35.456,33.872,36.05,33.044,39.902,37.814,34.484,37.958,41.432,37.49,34.214,39.308,38.786,38.894,40.388,36.176,41.918
3,40.244,33.548,36.698,36.122,36.608,37.525999999999996,32.36,37.202,35.978,38.696,36.878,35.834,41.234,34.952,33.494,35.78,34.43,39.506,37.49,33.368,37.868,41.198,37.418,33.782,39.326,38.714,38.822,40.370000000000005,36.194,41.612
4,40.117999999999995,32.882,36.644,36.014,36.194,37.4,32.36,36.86,35.87,38.714,36.806,35.852000000000004,41.198,34.97,33.494,35.438,33.494,39.29,37.364,33.152,37.903999999999996,40.766,37.31,33.098,39.308,38.588,38.714,40.334,36.194,41.45
5,39.704,32.666,36.59,35.942,35.87,37.202,32.36,36.644,35.636,38.75,36.698,35.888,41.144,35.024,33.422,33.44,34.25,39.254,37.292,33.674,37.418,40.46,37.076,32.738,39.2,38.462,38.588,40.1,36.230000000000004,41.306
6,39.362,32.396,36.536,35.852000000000004,35.186,37.022,32.36,36.464,35.474000000000004,37.778,36.932,35.762,41.0,35.042,33.368,33.404,33.908,39.217999999999996,37.256,33.53,36.806,40.334,36.338,32.36,39.146,38.408,38.408,39.506,36.230000000000004,41.216
7,39.002,32.396,36.482,35.816,34.772,36.86,32.36,36.122,35.168,37.652,36.68,35.69,40.891999999999996,35.132,33.404,33.188,33.638,39.128,37.22,32.846,36.230000000000004,40.316,35.906,32.36,39.056,38.318,38.318,38.822,36.068,41.054
8,38.714,32.396,36.482,35.762,34.52,36.806,32.36,35.78,35.078,37.562,36.59,35.653999999999996,40.784,35.204,33.17,33.17,33.494,38.876,37.166,32.576,35.132,40.334,35.402,32.648,38.876,38.156,38.21,38.552,35.906,40.82
9,38.084,32.396,36.446,35.87,32.36,36.374,32.36,35.852000000000004,35.006,36.95,36.5,35.69,40.604,35.258,33.062,33.998,33.08,38.984,37.292,32.432,34.484,40.316,35.132,32.666,38.57,38.012,38.138,38.444,35.78,40.424
10,36.86,32.396,36.428,35.978,32.36,36.374,32.36,36.176,34.196,37.058,36.446,35.798,40.388,35.204,33.062,33.926,33.134,39.11,37.346000000000004,32.432,33.476,40.226,34.538,32.702,38.156,38.012,38.084,38.3,35.744,39.938
11,36.158,32.396,35.275999999999996,36.05,32.36,36.374,32.36,36.536,33.98,38.03,36.284,35.924,40.19,36.068,32.882,33.872,33.152,39.164,37.418,32.414,33.116,40.028,34.556,32.36,37.796,38.012,37.958,37.562,35.708,39.56
12,35.653999999999996,32.378,34.664,36.032000000000004,32.36,36.32,32.36,36.572,33.836,38.75,36.122,36.14,39.956,35.996,32.882,32.36,33.062,39.056,37.418,32.432,33.008,39.578,34.736,32.882,37.49,37.994,37.742,37.202,35.69,39.2
13,35.258,32.36,34.322,35.996,32.36,36.158,32.36,36.104,33.728,37.58,36.122,36.032000000000004,39.542,35.924,32.36,32.882,33.044,38.786,37.364,32.63,32.54,39.074,34.898,32.522,37.616,38.012,37.562,36.752,35.708,39.074
14,35.006,32.36,34.106,35.924,32.36,35.978,32.36,35.96,32.36,37.616,35.618,35.726,39.038,35.906,32.36,32.36,32.846,38.282000000000004,37.256,32.666,32.504,38.588,34.79,32.432,37.418,38.012,37.436,36.482,35.636,38.768
15,34.826,32.36,32.36,35.888,32.612,35.78,32.36,35.762,32.36,38.012,35.528,35.51,38.606,35.924,32.36,32.36,32.36,37.814,37.058,32.666,32.504,38.228,34.952,32.396,37.058,37.958,37.382,36.05,35.456,38.048
16,34.736,32.36,32.36,35.852000000000004,32.36,35.564,32.36,35.582,32.36,35.024,35.474000000000004,35.618,38.336,35.906,32.36,32.36,32.846,37.508,37.004,32.648,32.36,37.598,34.286,32.378,36.662,37.886,37.31,35.744,35.438,37.436
17,34.664,32.36,32.36,35.762,32.36,35.42,32.36,35.42,32.36,35.06,35.402,35.456,38.138,35.852000000000004,32.36,32.36,32.36,37.652,36.842,32.558,32.36,37.058,34.322,32.414,35.996,37.688,37.22,35.798,35.708,36.769999999999996
18,34.592,32.36,32.36,35.672,32.36,35.275999999999996,32.36,35.168,32.36,35.114,33.908,35.402,38.03,35.672,32.36,32.36,32.666,37.67,36.608,32.54,32.36,36.284,34.826,32.45,35.834,37.364,37.022,35.582,35.816,36.482
19,34.556,32.36,32.36,35.6,32.36,34.682,32.36,35.024,32.36,35.294,33.836,35.33,36.32,35.528,32.36,32.36,32.666,37.544,36.356,32.36,32.468,35.546,34.916,32.36,35.168,36.95,36.824,35.186,35.87,35.708
20,34.538,32.36,32.36,35.528,32.36,34.34,32.36,34.862,32.36,32.378,33.71,35.222,36.230000000000004,35.204,32.36,32.36,32.594,37.184,35.942,32.36,32.468,35.24,35.186,32.36,34.7,36.554,36.698,34.628,35.888,35.438
21,34.52,32.36,32.36,35.492,32.36,34.106,32.36,34.574,32.36,32.378,32.36,35.096000000000004,36.068,33.296,32.36,32.36,32.648,36.302,35.653999999999996,32.36,32.432,34.88,35.294,32.36,34.376,36.374,36.644,34.25,35.816,35.366
22,34.52,32.36,32.36,35.438,32.36,33.332,32.36,34.34,32.36,32.396,32.36,35.132,35.942,33.206,32.36,32.36,32.576,36.284,34.916,32.36,32.432,34.646,35.33,32.378,34.088,36.230000000000004,36.572,34.34,35.798,34.844
23,34.502,32.36,32.36,35.42,32.36,33.044,32.36,34.304,32.36,32.36,32.36,35.402,35.726,32.972,32.36,32.36,32.468,36.41,34.07,32.36,32.396,34.61,35.168,32.378,34.106,36.32,36.284,33.998,35.744,34.826
24,34.502,32.36,32.36,35.348,32.36,32.936,32.36,34.448,32.36,32.36,32.36,35.312,35.564,32.792,32.36,32.36,32.36,36.32,33.998,32.36,32.414,34.484,35.024,32.36,34.412,36.518,35.708,33.71,35.744,34.556
25,34.484,32.36,32.36,35.294,32.36,32.882,32.36,34.592,32.36,32.36,32.36,35.132,35.528,32.738,32.36,32.36,32.36,36.14,33.656,32.36,32.558,34.646,34.88,32.36,33.854,36.194,35.618,33.422,35.69,34.628
26,34.466,32.36,32.36,35.24,32.36,32.36,32.36,34.844,32.36,32.36,32.36,34.97,34.646,32.72,32.36,32.36,32.36,34.178,33.512,32.36,32.576,34.538,34.79,32.774,33.332,35.978,35.6,33.116,35.492,34.718
27,34.448,32.36,32.36,35.186,32.36,32.36,32.36,35.096000000000004,32.36,32.36,32.36,34.916,34.52,32.648,32.36,32.36,32.36,35.87,33.764,32.36,32.36,34.52,34.682,32.81,33.278,35.942,35.51,33.062,35.24,34.79
28,34.448,32.36,32.36,35.006,32.36,32.36,32.36,35.168,32.36,32.36,32.36,35.006,34.358,32.36,32.36,32.36,32.36,35.834,33.692,32.36,32.36,34.61,34.52,32.828,32.828,35.888,35.348,32.972,35.042,34.916
29,34.448,32.36,32.36,34.934,32.36,32.36,32.36,34.97,32.36,32.36,32.36,35.06,34.304,32.36,32.36,32.36,32.36,35.816,34.07,32.36,32.36,34.43,34.448,32.738,32.828,35.834,35.132,32.72,34.898,35.294
30,34.448,32.36,32.36,34.88,32.36,32.36,32.36,34.79,32.36,32.36,32.36,35.06,33.152,32.36,32.36,32.36,32.36,35.834,33.962,32.36,32.36,34.304,34.376,32.666,32.54,35.744,34.628,32.576,34.718,35.312
31,32.36,32.36,32.36,34.664,32.36,32.36,32.36,34.682,32.36,32.36,32.36,35.078,33.134,32.36,32.36,32.36,32.36,35.726,34.286,32.36,32.36,34.646,34.412,32.378,32.414,35.69,34.592,32.36,34.43,35.258
32,32.36,32.36,32.36,33.854,32.36,32.36,32.36,34.592,32.36,32.36,32.36,35.132,33.116,32.36,32.36,32.36,32.36,35.798,34.214,32.36,32.36,35.06,34.43,32.666,32.36,35.708,34.574,32.36,34.43,35.204
33,32.36,32.36,32.36,33.602,32.63,32.36,32.36,34.466,32.36,32.36,32.36,35.6,32.36,32.36,32.36,32.36,32.36,36.014,34.142,32.36,32.36,35.15,34.358,32.738,32.36,35.834,34.502,32.522,34.232,35.456
34,32.36,32.36,32.36,33.584,32.648,32.36,32.36,34.358,32.36,32.36,32.36,34.88,32.36,32.36,32.36,32.36,32.36,36.05,34.034,32.36,32.36,35.438,34.142,32.774,32.576,35.87,34.502,32.666,34.268,35.582
35,32.36,32.36,32.36,33.656,32.666,32.36,32.36,34.232,32.36,32.36,32.36,34.844,32.36,32.36,32.36,32.36,32.36,36.14,33.854,32.36,32.36,35.438,33.782,32.36,32.45,35.798,34.43,32.45,33.656,35.618
36,32.36,32.36,32.36,33.8,32.684,32.36,32.36,34.106,32.36,32.36,32.36,34.772,32.36,32.36,32.36,32.36,32.36,36.122,32.702,32.36,32.36,35.222,33.728,32.36,32.36,35.636,34.43,32.36,33.494,35.69
37,34.34,32.36,32.36,34.304,32.702,32.36,32.36,33.998,32.36,32.36,32.36,34.772,32.36,32.36,32.36,32.36,32.36,36.248,32.72,32.36,32.36,35.15,33.53,32.36,32.54,35.528,33.998,32.36,33.746,35.888
38,32.36,32.36,32.324,34.394,32.756,32.36,32.36,33.998,32.36,32.36,32.414,34.088,32.36,32.36,32.36,32.36,32.36,36.266,32.648,32.36,32.36,35.132,33.458,32.36,32.504,35.366,33.638,32.486,33.782,35.996
39,32.36,32.36,32.36,34.304,32.81,32.36,32.36,33.998,32.36,32.36,32.36,33.98,32.36,32.36,32.36,32.36,32.36,36.014,32.774,32.36,32.36,35.132,33.332,32.36,32.486,35.168,33.494,32.522,33.998,36.014
40,32.36,32.36,32.36,34.07,32.846,32.36,32.36,34.124,32.36,32.36,32.36,33.944,32.36,32.36,32.36,32.36,32.36,35.816,32.666,32.36,32.36,35.096000000000004,33.944,32.36,32.36,35.06,32.576,32.504,34.142,36.032000000000004
41,32.36,32.36,32.36,33.872,33.026,32.36,32.36,33.854,32.36,32.36,32.36,33.818,32.36,32.36,32.36,32.36,32.36,35.708,32.504,32.36,32.36,34.97,34.052,32.36,32.36,35.006,32.684,32.468,34.394,36.068
42,32.36,32.36,32.36,33.638,33.08,32.36,32.36,33.62,32.36,32.36,32.36,33.728,32.36,32.36,32.36,32.36,32.36,35.492,32.612,32.36,32.36,34.754,34.106,32.36,32.36,34.97,32.684,32.45,34.88,36.122
43,32.36,32.36,32.36,33.476,33.098,32.36,32.36,33.53,32.36,32.36,32.36,33.602,32.36,32.36,32.36,32.36,32.36,35.186,32.792,32.36,32.36,34.628,34.034,32.36,32.36,34.862,32.738,32.558,35.006,36.05
44,32.36,32.36,32.36,33.422,32.846,32.36,32.36,33.44,32.36,32.36,32.36,33.476,32.36,32.36,32.36,32.36,32.36,34.7,32.738,32.36,32.36,33.53,33.836,32.36,32.36,34.7,32.702,32.432,34.97,36.032000000000004
45,32.36,32.36,32.36,33.386,32.846,32.36,32.36,33.458,32.36,32.36,32.36,33.44,32.36,32.36,32.36,32.36,32.36,34.628,32.774,32.36,32.36,32.792,33.944,32.36,32.36,34.61,32.63,32.36,34.988,35.996
46,32.36,32.36,32.36,33.584,32.846,32.36,32.36,33.422,32.36,32.36,32.36,33.386,32.36,32.36,32.36,32.36,32.486,34.61,32.666,32.36,32.36,32.54,34.106,32.36,32.36,34.484,32.576,32.36,35.096000000000004,35.888
47,32.36,32.36,32.36,33.8,32.864,32.36,32.36,33.458,32.36,32.36,32.36,33.674,32.36,32.36,32.36,32.36,32.54,34.844,32.666,32.36,32.36,32.756,34.394,32.36,32.36,34.484,32.558,32.36,35.006,35.834
48,32.36,32.36,32.36,33.962,32.864,32.36,32.36,33.494,32.36,32.36,32.36,33.152,32.36,32.36,32.36,32.36,32.36,34.916,32.504,32.36,32.36,32.792,34.664,32.36,32.36,34.412,32.522,32.36,34.898,35.672
49,32.36,32.36,32.36,34.322,32.864,32.36,32.36,33.512,32.36,32.36,32.36,33.134,32.36,32.36,32.36,32.36,32.36,34.952,32.522,32.36,32.36,32.684,35.006,32.36,32.36,34.466,32.486,32.36,34.808,35.492
50,32.36,32.36,32.36,34.664,32.864,32.36,32.36,33.512,32.36,32.36,32.36,33.098,32.36,32.36,32.36,32.36,32.756,34.88,32.504,32.36,32.36,32.972,35.294,32.684,32.36,34.466,32.504,32.36,34.844,35.33
51,32.36,32.36,32.36,34.97,32.36,32.36,32.36,33.548,32.36,32.36,32.36,33.08,32.36,32.36,32.36,32.36,32.792,34.736,32.522,32.36,32.36,33.188,35.222,32.72,32.36,34.412,32.468,32.36,34.862,35.6
52,32.36,32.36,32.36,35.096000000000004,32.36,32.36,32.36,33.638,32.36,32.36,32.36,32.81,32.36,32.36,32.36,32.36,32.774,34.772,32.522,32.432,32.36,33.17,35.33,32.792,32.36,34.268,32.486,32.36,34.916,35.69
53,32.36,32.36,32.36,35.204,32.36,32.36,32.36,33.638,32.36,32.36,32.36,32.828,32.36,32.36,32.36,32.36,32.72,34.844,32.36,32.414,32.36,33.512,35.888,32.396,32.36,34.61,32.432,32.378,34.988,35.672
54,32.36,32.36,32.36,35.33,32.36,32.36,32.36,33.638,32.36,32.36,32.36,32.882,32.36,32.36,32.36,32.36,32.36,34.916,32.36,32.36,32.36,33.584,36.32,32.36,32.36,34.772,32.414,32.522,35.042,35.546
55,32.36,32.36,32.36,35.366,32.36,32.36,32.36,34.124,32.36,32.36,32.36,32.666,32.36,32.36,32.36,32.36,32.36,34.97,32.36,32.45,32.36,33.314,36.248,32.36,32.36,34.862,32.522,32.36,35.132,35.474000000000004
56,32.36,32.36,32.36,35.402,32.36,32.36,32.36,34.574,32.36,32.36,32.36,32.666,32.36,32.36,32.36,32.36,32.36,35.006,32.396,32.36,32.36,33.134,35.906,33.098,32.36,34.79,32.522,32.486,35.186,35.492
57,32.36,32.36,32.36,35.6,32.648,32.36,32.324,35.078,32.36,32.36,32.36,32.648,32.36,32.36,32.36,32.36,32.36,35.078,32.414,32.36,32.36,33.746,35.762,33.296,32.36,34.664,32.9,32.36,35.275999999999996,35.636
58,32.288,32.36,32.36,35.708,32.36,32.36,32.36,35.366,32.36,32.36,32.36,32.774,32.36,32.36,32.36,32.36,32.36,35.168,32.414,32.36,32.36,33.8,35.816,33.584,32.36,34.52,32.9,32.36,35.312,35.834
59,32.36,32.36,32.36,35.798,32.36,32.36,32.36,35.275999999999996,32.36,32.36,32.36,32.36,32.36,32.36,32.36,32.36,32.36,35.24,32.522,32.36,32.36,34.178,35.816,33.602,32.36,34.124,32.846,32.36,35.456,35.978
60,32.36,32.36,32.36,35.744,32.36,32.36,32.36,35.078,32.36,32.36,32.36,32.36,32.36,32.36,32.36,32.36,32.36,35.294,32.45,32.36,32.36,34.43,35.87,33.728,32.36,33.908,32.99,32.36,35.6,36.104
61,32.36,32.36,32.36,35.653999999999996,32.396,32.36,32.36,34.898,32.36,32.36,32.36,32.36,32.36,32.36,32.36,32.36,32.36,35.402,32.486,32.36,32.36,34.394,35.852000000000004,33.764,32.36,33.8,33.008,32.36,35.672,36.248
62,32.36,32.36,32.36,35.618,32.378,32.36,32.36,34.304,32.36,32.36,32.36,32.36,32.36,32.36,32.36,32.36,32.36,35.6,32.36,32.36,32.36,34.232,35.78,33.854,32.36,34.178,33.062,32.36,35.78,36.482
63,32.36,32.36,32.36,35.636,32.378,32.36,32.36,34.196,32.36,32.36,32.36,32.36,32.36,32.36,32.36,32.36,32.36,35.636,32.558,32.36,32.36,34.106,35.708,33.944,32.36,34.322,33.062,32.396,35.906,36.878
64,32.36,32.36,32.36,35.69,32.468,32.36,32.36,33.926,32.36,33.332,32.36,32.36,32.36,32.36,32.36,32.36,32.36,35.996,32.522,32.36,32.36,34.106,35.708,33.926,32.36,34.34,33.152,32.36,35.942,37.166
65,32.36,32.36,32.36,35.834,32.36,32.36,32.36,33.944,32.36,33.404,32.36,32.36,32.36,32.36,32.36,32.36,32.36,36.086,32.576,32.36,32.36,34.268,35.924,33.89,32.36,34.448,33.386,32.414,35.996,37.382
66,32.36,32.36,32.36,35.744,32.36,32.36,32.36,33.998,32.36,33.314,32.36,32.36,32.36,32.36,32.36,32.36,32.36,35.996,32.648,32.36,32.378,34.466,36.32,33.89,32.36,34.7,33.404,32.36,36.176,37.525999999999996
67,32.36,32.36,32.36,35.672,32.36,34.7,32.36,33.998,32.36,33.134,32.36,32.36,32.36,32.36,32.36,32.36,32.36,36.176,32.972,32.36,32.36,35.312,36.554,33.908,32.36,34.88,33.206,33.566,36.158,37.616
68,32.36,32.36,32.36,35.582,32.36,34.718,32.36,34.016,32.36,33.548,32.36,33.404,32.36,32.36,32.36,32.36,32.36,36.536,32.846,32.36,32.36,35.978,36.518,33.836,32.36,35.132,33.782,33.656,36.104,37.706
69,32.36,32.36,32.36,35.438,32.36,34.898,32.36,33.998,32.36,33.476,32.36,32.846,32.36,32.36,32.36,32.36,32.36,36.769999999999996,32.846,32.36,32.45,36.374,36.338,33.746,32.36,35.294,34.214,33.656,36.086,37.814
70,32.36,32.36,32.36,35.294,32.36,34.97,32.36,33.674,32.36,33.476,32.36,32.9,32.36,32.36,32.36,32.36,32.36,37.094,33.098,32.396,32.45,36.482,36.068,33.746,32.36,35.582,34.862,33.386,36.068,37.85
71,32.36,32.36,32.36,35.204,32.432,35.006,32.36,33.998,32.36,34.376,32.36,32.936,32.36,32.36,32.36,32.36,32.36,37.454,33.098,32.36,32.414,36.446,35.744,33.782,32.486,35.78,35.024,34.088,36.05,37.868
72,32.36,32.36,32.36,35.078,32.396,35.024,32.36,34.16,32.36,33.836,32.36,32.972,32.36,32.36,32.36,32.36,32.36,37.994,33.422,32.36,32.414,36.5,35.384,33.89,32.576,36.176,35.438,34.106,35.996,38.012
73,32.36,32.36,32.36,34.934,32.396,34.988,32.36,34.628,32.36,33.926,32.36,32.918,32.36,32.36,32.36,32.36,32.36,38.534,33.44,32.36,32.432,36.734,35.042,33.998,32.684,36.446,35.51,34.016,35.996,38.318
74,32.36,32.36,32.36,34.826,32.396,34.934,32.882,34.898,32.36,33.944,32.36,32.846,32.36,32.36,32.36,32.36,32.36,38.768,33.458,32.36,32.432,36.932,34.79,34.07,32.792,36.536,35.456,34.592,36.068,38.498
75,32.36,32.36,32.36,34.772,32.414,34.88,32.882,35.204,32.36,34.34,32.36,35.15,32.36,32.36,32.36,32.36,32.36,39.344,33.458,32.36,32.486,37.058,34.682,34.16,33.512,36.626,35.42,34.862,36.086,38.822
76,32.36,32.36,32.36,34.826,32.432,34.826,32.882,35.402,32.36,33.872,32.36,35.222,32.36,32.36,32.36,32.36,32.36,40.226,33.404,32.36,32.468,37.094,34.718,34.286,33.476,36.68,35.474000000000004,35.132,36.014,39.074
77,32.36,32.36,32.36,34.862,32.45,34.754,32.882,34.916,32.36,33.944,32.36,35.33,32.36,32.36,32.36,32.36,33.062,41.396,33.386,32.36,32.54,37.13,34.79,34.448,33.584,36.662,35.744,35.258,35.924,39.038
78,32.36,32.36,32.36,35.024,32.54,35.906,32.918,34.718,32.36,34.682,32.36,35.42,32.36,32.36,32.36,32.36,32.954,41.882000000000005,33.35,32.36,32.54,37.166,34.916,34.448,33.854,36.716,35.888,35.132,35.888,38.876
79,32.36,32.36,32.36,35.222,32.54,36.014,33.044,34.7,32.36,34.7,32.36,35.744,32.36,32.36,32.36,32.36,33.674,42.385999999999996,33.836,32.36,32.558,37.13,35.06,34.358,34.142,36.896,35.816,35.294,35.942,38.696
80,32.36,32.36,32.36,35.384,32.54,35.96,33.17,34.664,32.36,34.916,32.36,36.068,32.36,32.36,32.36,32.36,33.62,43.358000000000004,34.142,32.36,32.36,37.112,35.078,34.43,34.322,37.094,35.636,35.528,35.978,38.534
81,34.016,32.36,32.36,35.564,32.522,35.924,33.224,34.538,32.36,35.402,32.36,36.176,32.972,32.36,32.36,32.36,33.764,44.33,34.124,32.36,32.36,37.166,35.006,34.592,34.646,37.202,36.644,35.582,36.14,38.354
82,34.34,32.36,32.36,35.762,33.08,35.942,33.35,34.448,32.36,36.302,32.36,36.284,32.972,32.36,32.36,33.53,33.944,44.528,34.124,32.36,32.594,37.508,35.06,34.79,34.808,37.274,37.112,35.564,36.5,38.246
83,34.646,32.36,32.36,36.05,33.422,36.032000000000004,33.332,34.358,32.36,36.122,32.72,36.374,33.152,32.36,32.36,33.8,32.36,43.988,34.25,32.522,32.45,38.012,35.24,34.934,35.06,37.508,37.868,35.636,36.842,38.228
84,34.574,32.36,32.36,36.5,33.944,36.428,33.35,34.232,32.36,36.05,32.684,36.41,33.296,32.36,32.36,33.782,33.026,43.304,34.502,32.486,32.45,38.336,35.582,35.042,35.15,37.958,38.102000000000004,35.653999999999996,37.058,38.246
85,34.682,32.36,32.36,37.13,34.43,36.536,33.368,33.926,32.36,36.284,32.702,36.392,33.404,32.36,32.36,34.016,32.756,42.674,34.718,32.594,32.45,38.444,36.176,35.042,35.186,38.174,38.3,35.672,37.166,38.408
86,34.736,32.36,32.36,37.544,34.556,37.364,33.53,33.728,32.36,36.194,32.738,36.608,34.376,32.36,32.36,34.448,33.872,42.152,34.844,32.576,32.522,38.552,36.878,35.006,35.24,38.39,38.606,35.653999999999996,37.22,38.57
87,34.934,32.36,32.378,37.994,34.61,37.256,33.656,34.16,32.36,36.158,33.044,37.076,34.232,32.36,32.36,34.412,33.998,42.206,34.916,32.486,32.54,38.894,37.364,35.024,35.438,38.75,38.876,35.636,37.31,38.768
88,35.006,32.36,32.378,38.318,34.88,37.814,33.782,34.484,32.36,36.14,33.08,37.436,35.114,32.36,32.36,34.16,34.358,42.854,34.988,32.36,32.72,39.146,37.634,35.078,35.618,39.29,39.164,35.726,37.436,38.894
89,35.024,32.36,32.378,38.660000000000004,35.006,38.498,33.872,34.628,32.36,36.572,33.116,37.778,35.114,32.36,32.36,33.332,34.394,42.962,35.186,32.36,32.882,39.254,37.724000000000004,35.294,35.726,39.758,39.434,35.87,37.616,39.002
90,35.006,32.36,32.378,39.146,35.348,39.038,33.98,34.646,32.36,36.769999999999996,34.448,37.994,35.384,32.36,36.122,33.386,34.412,42.818,35.312,33.422,32.954,39.308,37.778,35.474000000000004,35.852000000000004,40.010000000000005,39.416,36.032000000000004,37.85,39.056
91,35.024,32.36,34.97,39.452,35.672,39.344,34.142,34.97,32.36,36.914,34.466,38.03,35.708,32.36,36.644,33.566,34.592,42.71,35.366,33.404,33.152,39.38,37.868,35.653999999999996,35.978,40.117999999999995,39.362,36.212,38.12,39.182
92,35.132,32.36,35.204,39.704,36.302,39.452,34.286,35.492,32.36,37.004,34.61,38.12,35.708,32.36,36.878,33.638,34.754,42.692,35.42,33.494,33.26,39.524,37.976,35.762,36.176,40.153999999999996,39.362,36.248,38.372,39.398
93,35.294,32.36,35.546,40.064,37.022,39.434,34.196,35.978,32.918,36.95,34.646,38.282000000000004,35.816,32.36,36.967999999999996,33.656,35.132,42.8,35.6,33.458,33.314,39.596,38.21,35.816,36.446,40.28,39.452,36.446,38.624,
94,35.438,32.36,35.726,40.28,37.472,39.434,34.502,36.5,32.936,36.788,36.284,38.39,35.708,32.36,37.076,33.71,35.708,42.872,35.924,33.728,33.638,39.524,38.462,35.924,36.464,40.604,39.74,36.698,38.966,
95,35.618,32.36,35.888,40.478,37.706,39.452,35.168,36.572,32.972,36.608,36.608,38.498,36.788,32.36,37.112,33.836,36.194,43.141999999999996,36.302,33.71,33.746,39.272,38.696,36.05,36.68,40.928,39.938,37.274,39.326,
96,35.906,32.36,36.104,40.064,37.886,39.434,35.744,36.824,32.99,38.084,37.166,38.768,36.284,32.36,37.202,41.666,36.769999999999996,43.25,36.68,33.8,34.016,39.182,39.074,36.068,37.364,41.162,40.64,37.634,39.614000000000004,
97,36.068,32.36,36.104,40.495999999999995,38.354,38.696,36.284,36.86,34.808,39.578,37.688,39.056,36.05,32.36,38.12,41.522,37.562,43.448,37.328,34.304,34.232,39.236,39.236,36.104,37.724000000000004,41.432,41.629999999999995,37.922,39.758,
98,36.05,32.36,36.338,40.856,38.93,39.47,36.788,37.058,34.772,40.730000000000004,37.76,39.308,35.87,32.36,38.246,41.251999999999995,38.048,43.718,37.525999999999996,34.394,34.574,39.38,39.47,36.104,38.174,41.576,42.44,38.21,40.010000000000005,
99,36.014,32.36,36.32,41.251999999999995,39.254,39.668,37.382,37.256,34.916,40.352000000000004,37.958,39.488,35.708,34.772,38.318,41.108000000000004,38.3,43.826,37.652,34.646,34.592,39.506,39.632,36.104,38.588,41.629999999999995,42.674,38.408,40.406,
100,35.888,32.36,36.392,41.738,39.344,39.632,37.292,37.544,35.078,39.056,38.246,39.83,35.69,35.474000000000004,38.534,41.198,38.408,43.826,37.76,34.97,34.808,39.542,39.866,36.194,38.57,41.54,42.745999999999995,38.714,40.856,
101,35.852000000000004,32.36,36.752,41.504000000000005,39.884,39.866,37.364,37.562,34.646,39.02,38.57,40.28,35.798,36.698,38.768,41.396,38.3,43.934,37.922,35.33,35.275999999999996,39.632,40.352000000000004,36.302,38.642,41.468,43.088,39.02,41.45,
102,36.158,32.36,36.896,42.35,40.064,40.262,37.256,38.12,34.97,39.11,38.678,41.108000000000004,36.967999999999996,37.004,38.984,41.647999999999996,38.3,44.096000000000004,38.228,35.653999999999996,35.636,39.722,40.982,36.518,38.912,41.576,43.736,39.758,42.403999999999996,
103,36.698,33.008,37.076,43.376000000000005,40.388,40.604,37.903999999999996,38.822,36.518,39.182,38.912,41.864000000000004,37.13,37.238,39.217999999999996,42.224000000000004,38.282000000000004,44.348,38.714,36.14,36.284,39.704,41.396,37.04,39.254,41.629999999999995,44.186,40.226,43.088,
